,id,name,cnnaff_pos,cnnaff,MW,HBA,HBD,LogP,Pass_Ro5,has_pains,has_unwanted_subs,has_prob_fgs,synthetic_accessibility,Smiles,cnn_per_mw,Mol,TPSA,QED,Mol_Weight,N_RotBonds
13148,13148,fegrow_gen/c1(NC(=O)C2CC2)c(N2CCOCC2)c(N2CC[C@@H](c3ccc(-c4ccc(C#N)cc4)nc3OC)C2=O)c[nH]c1=O.sdf,5.45364,-5.45364,524.367,8,2,3.02278,True,False,False,False,7.85834683853996,[H]c1c(-c2c([H])c([H])c(C#N)c([H])c2[H])nc(OC([H])([H])[H])c([C@@]2([H])C(=O)N(c3c(N4C([H])([H])C([H])([H])OC([H])([H])C4([H])[H])c(N([H])C(=O)C4([H])C([H])([H])C4([H])[H])c(=O)n([H])c3[H])C([H])([H])C2([H])[H])c1[H],-0.0104004256560768,<rdkit.Chem.rdchem.Mol object at 0x7ff0d70df760>,140.65,0.454224897417715,554.607,7
13149,13149,fegrow_gen/c1c(SNC(=O)O[C@@H](COCC(F)(F)F)OCC#Cc2ccc3[nH]ncc3c2)cc[nH]c1=O.sdf,5.45362,-5.45362,465.304,7,3,2.9578,True,False,True,True,7.84152151646858,[H]c1c(C#CC([H])([H])O[C@@]([H])(OC(=O)N([H])Sc2c([H])c([H])n([H])c(=O)c2[H])C([H])([H])OC([H])([H])C(F)(F)F)c([H])c2c([H])nn([H])c2c1[H],-0.0117205525849767,<rdkit.Chem.rdchem.Mol object at 0x7ff0d70df7d0>,118.33,0.256681061135781,482.44,8
13150,13150,fegrow_gen/c1c(SCc2cc(CNC(=O)c3ccccc3)c(C=O)c(Cl)c2)cc[nH]c1=O.sdf,5.45356,-5.45356,395.762,4,2,4.0631,True,False,True,True,7.47556272685603,[H]C(=O)c1c(Cl)c([H])c(C([H])([H])Sc2c([H])c([H])n([H])c(=O)c2[H])c([H])c1C([H])([H])N([H])C(=O)c1c([H])c([H])c([H])c([H])c1[H],-0.0137798980195168,<rdkit.Chem.rdchem.Mol object at 0x7ff0d70df840>,79.03,0.452698600742011,412.898,7
13151,13151,fegrow_gen/c1c(S[C@@H]2CCNC2)c(NCc2ccccc2)c(N=C=S)[nH]c1=O.sdf,5.45351,-5.45351,340.348,6,3,3.1753,True,False,True,True,6.8175732796024,[H]c1c([H])c([H])c(C([H])([H])N([H])c2c(S[C@@]3([H])C([H])([H])N([H])C([H])([H])C3([H])[H])c([H])c(=O)n([H])c2N=C=S)c([H])c1[H],-0.0160233349395325,<rdkit.Chem.rdchem.Mol object at 0x7ff0d70df8b0>,69.28,0.546536940091999,358.492,6
13152,13152,fegrow_gen/c1c(S)c(-c2c(C(C)(C)O)c(CCCO)c(Cl)c(Cl)c2)c(N=C=S)[nH]c1=O.sdf,5.45335,-5.45335,427.249,6,4,4.524,True,False,True,True,7.56244392423341,[H]OC([H])([H])C([H])([H])C([H])([H])c1c(Cl)c(Cl)c([H])c(-c2c(S[H])c([H])c(=O)n([H])c2N=C=S)c1C(O[H])(C([H])([H])[H])C([H])([H])[H],-0.0127638683765205,<rdkit.Chem.rdchem.Mol object at 0x7ff0d70df920>,85.68,0.299224626688792,445.393,6
13153,13153,fegrow_gen/c1(S(=O)(=O)N2CCOCC2)c(SNC(=O)OC(C)OCC)cc[nH]c1=O.sdf,5.45335,-5.45335,386.302,8,2,0.5116,True,False,True,True,6.01095502345578,[H]c1c(SN([H])C(=O)O[C@]([H])(OC([H])([H])C([H])([H])[H])C([H])([H])[H])c(S(=O)(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c(=O)n([H])c1[H],-0.014116804986772,<rdkit.Chem.rdchem.Mol object at 0x7ff0d70df990>,127.03,0.494450928873136,407.47,7
13154,13154,fegrow_gen/c1c(SCc2cc(CN3C[C@@H](N(C(C)OCCO)CC)OCC3)c(C=O)c(Cl)c2)cc[nH]c1=O.sdf,5.45324,-5.45324,477.8,8,2,2.96820000000001,True,False,True,True,8.37147318348421,[H]OC([H])([H])C([H])([H])O[C@@]([H])(N(C([H])([H])C([H])([H])[H])[C@@]1([H])OC([H])([H])C([H])([H])N(C([H])([H])c2c([H])c(C([H])([H])Sc3c([H])c([H])n([H])c(=O)c3[H])c([H])c(Cl)c2C([H])=O)C1([H])[H])C([H])([H])[H],-0.0114132272917539,<rdkit.Chem.rdchem.Mol object at 0x7ff0d70dfa00>,95.1,0.256044180489573,510.056,12
13155,13155,fegrow_gen/c1(C(=O)c2c(CC3CC3)ccs2)c(S)cc(N=C=S)[nH]c1=O.sdf,5.45322,-5.45322,336.378,6,2,3.6429,True,False,True,True,6.9690301085232,[H]Sc1c([H])c(N=C=S)n([H])c(=O)c1C(=O)c1sc([H])c([H])c1C([H])([H])C1([H])C([H])([H])C1([H])[H],-0.0162115833972495,<rdkit.Chem.rdchem.Mol object at 0x7ff0d70dfa70>,62.29,0.375225679839975,348.474,5
13156,13156,fegrow_gen/c1(-n2cccc2)c(S[C@H]2[C@H](NC(N)=O)CCC2)c(OCCN)c(N=C=S)[nH]c1=O.sdf,5.45317,-5.45317,412.371,8,4,1.9189,True,False,True,True,7.70780330348955,[H]c1c([H])c([H])n(-c2c(S[C@]3([H])C([H])([H])C([H])([H])C([H])([H])[C@@]3([H])N([H])C(=O)N([H])[H])c(OC([H])([H])C([H])([H])N([H])[H])c(N=C=S)n([H])c2=O)c1[H],-0.013223941547781,<rdkit.Chem.rdchem.Mol object at 0x7ff0d70dfae0>,140.52,0.369501685883591,434.547,8
13157,13157,fegrow_gen/c1(C(=O)NC(CCCNC(=O)C(C)C)c2ccncn2)cc(Br)c[nH]c1=O.sdf,5.45304,-5.45304,414.134,5,3,1.9509,True,False,False,False,6.81149949832648,[H]c1nc([H])c([H])c([C@@]([H])(N([H])C(=O)c2c([H])c(Br)c([H])n([H])c2=O)C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)C([H])(C([H])([H])[H])C([H])([H])[H])n1,-0.0131673323127297,<rdkit.Chem.rdchem.Mol object at 0x7ff0d70dfb50>,116.84,0.547294358346204,436.31,8
13158,13158,fegrow_gen/c1(C(=O)N(CCCC)CCCCCC(=O)N(CC)CC)cc(Br)c[nH]c1=O.sdf,5.45298,-5.45298,410.142,3,1,3.8085,True,False,False,False,7.35911044031048,[H]c1c(Br)c([H])n([H])c(=O)c1C(=O)N(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H],-0.0132953464897523,<rdkit.Chem.rdchem.Mol object at 0x7ff0d70dfbc0>,73.48,0.500645680623748,442.398,12
13159,13159,fegrow_gen/c1cc(CNCc2cc(NC(=O)C(CN3CCO[C@H](CC(=O)N(C)C)C3)OCCN3CCOCC3)ccc2Cl)c[nH]c1=O.sdf,5.45294,-5.45294,575.819,9,3,1.1531,True,False,False,False,8.79412679169886,[H]c1c([H])c(N([H])C(=O)[C@]([H])(OC([H])([H])C([H])([H])N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])C([H])([H])N2C([H])([H])C([H])([H])O[C@]([H])(C([H])([H])C(=O)N(C([H])([H])[H])C([H])([H])[H])C2([H])[H])c([H])c(C([H])([H])N([H])C([H])([H])c2c([H])c([H])c(=O)n([H])c2[H])c1Cl,-0.00946988550221511,<rdkit.Chem.rdchem.Mol object at 0x7ff0d70dfc30>,128.47,0.285652259534112,619.163,14
13160,13160,fegrow_gen/c1([C@@H](C)CCN2CCC(N(C)C)CC2)cccn([C@H](Oc2cccc([N+](=O)[O-])c2)c2ccccc2)c1=O.sdf,5.45288,-5.45288,468.343,7,0,4.90200000000001,True,False,True,False,8.56274481712108,[H]c1c([H])c([H])c([C@@]([H])(Oc2c([H])c([H])c([H])c([N+](=O)[O-])c2[H])n2c([H])c([H])c([H])c([C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])N3C([H])([H])C([H])([H])C([H])(N(C([H])([H])[H])C([H])([H])[H])C([H])([H])C3([H])[H])c2=O)c([H])c1[H],-0.0116429198258541,<rdkit.Chem.rdchem.Mol object at 0x7ff0d70dfca0>,80.85,0.288549390921344,504.631,10
