Smiles,id,name,cnnaff_pos,cnnaff,MW,HBA,HBD,LogP,Pass_Ro5,has_pains,has_unwanted_subs,has_prob_fgs,synthetic_accessibility,TPSA,QED,N_RotBonds,logp_cnn_per_mw
[H]ON([H])C(=O)C([H])([H])c1c(S[H])c([H])c(=O)n([H])c1[H],15563,fegrow_gen/c1c(S)c(CC(=O)NO)c[nH]c1=O.sdf,4.38151,-0.0740855286662502,192.155,4,4,-0.2885,True,False,True,False,6.83402620388645,82.19,0.3006654517488378,2,0.0740855286662502
[H]Sc1c(N2C(=O)C([H])=C(N3C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C2=O)c([H])n([H])c(=O)c1Br,12955,fegrow_gen/c1(Br)c(S)c(N2C(=O)C(N3CCCCC3)=CC2=O)c[nH]c1=O.sdf,5.48624,-0.2681570507863486,370.143,5,2,1.6691,True,False,True,False,7.07043095561715,73.48,0.6011907743291737,2,0.2681570507863486
[H]c1c(N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c(=O)n([H])c1[H],15719,fegrow_gen/c1c(N2CCOCC2)cc[nH]c1=O.sdf,3.27643,-0.1301252787474576,168.111,3,1,0.2115,True,False,False,False,7.41793783667292,45.33,0.6716881228188699,1,0.1301252787474576
[H]c1c(C([H])([H])N([H])C([H])([H])[H])c([H])n([H])c(=O)c1[H],15720,fegrow_gen/c1cc(CNC)c[nH]c1=O.sdf,3.25793,-0.0484759919885659,128.09,2,2,0.0942999999999999,True,False,False,False,7.42195818157668,44.89,0.6081899611272396,2,0.0484759919885659
[H]Sc1c([H])c([H])n([H])c(=O)c1C(=O)N([H])N([H])[H],15678,fegrow_gen/c1(C(=O)NN)c(S)cc[nH]c1=O.sdf,3.9511,-0.0702158651575254,178.152,4,4,-0.7329,True,False,True,False,6.66519798198606,87.98,0.2011346515374915,1,0.0702158651575254
[H]c1c(SC([H])([H])[H])c([H])c(=O)n([H])c1[H],15715,fegrow_gen/c1c(SC)cc[nH]c1=O.sdf,3.52212,-0.0481777334591842,134.139,2,1,1.0968,True,False,False,False,6.95393116765602,32.86,0.5938469691700671,1,0.0481777334591842
[H]Sc1c(N2C(=O)C([H])=C(C([H])([H])N3C([H])([H])C([H])([H])OC([H])([H])C3([H])[H])C2=O)c([H])n([H])c(=O)c1[H],15266,fegrow_gen/c1c(S)c(N2C(=O)C=C(CN3CCOCC3)C2=O)c[nH]c1=O.sdf,4.7634,-0.1627759428481977,306.238,6,2,-0.2046,True,False,True,False,7.26233292476858,82.71000000000001,0.5948333170492269,3,0.1627759428481977
[H]c1c(N2C([H])([H])C([H])([H])OC([H])([H])[C@]2([H])Cl)c([H])c(=O)n([H])c1[H],15712,fegrow_gen/c1c(N2CCOCC2Cl)cc[nH]c1=O.sdf,3.56334,-0.180535952957605,203.564,3,1,0.7764,True,False,True,True,7.65074661478831,45.33,0.5551544225824827,1,0.180535952957605
[H]Sc1c(N2C(=O)C([H])=C(C([H])([H])OC([H])([H])OC([H])(F)F)C2=O)c([H])n([H])c(=O)c1[H],14596,fegrow_gen/c1c(S)c(N2C(=O)C(COCOC(F)F)=CC2=O)c[nH]c1=O.sdf,5.10589,-0.2014581747569516,322.204,6,2,0.6765,True,False,True,True,6.56344037487457,88.69999999999999,0.3460419907623875,6,0.2014581747569516
[H]c1c([H])c([H])n([H])c(=O)c1[C@@]([H])(C([H])([H])[H])[C@]([H])(N([H])S(=O)(=O)N([H])[H])C([H])([H])[H],15660,fegrow_gen/c1([C@@H](C)C(C)NS(N)(=O)=O)ccc[nH]c1=O.sdf,4.02993,-0.1337213139352891,230.184,3,3,-0.34,True,False,False,False,6.65417135532969,105.05,0.6753627881674911,4,0.1337213139352891
[H]c1nc([C@@]2([H])C([H])([H])[C@@]2([H])c2c([H])c([H])c([H])n([H])c2=O)n([H])c1[H],15655,fegrow_gen/c1(C2CC2c2ncc[nH]2)ccc[nH]c1=O.sdf,4.05054,-0.1383898952885567,190.141,2,2,1.3691,True,False,False,False,4.24677980182792,61.54,0.7703978425153818,2,0.1383898952885567
[H]c1c([H])c([H])n([H])c(=O)c1C1([H])C([H])([H])C1([H])[H],15708,fegrow_gen/c1(C2CC2)ccc[nH]c1=O.sdf,3.63592,-0.0054176375454384,126.094,1,1,1.2523,True,False,False,False,7.26876198700278,32.86,0.617269377666857,1,0.0054176375454384
[H]C([H])=C([H])C([H])([H])[C@]1([H])C([H])([H])[C@]1([H])c1c([H])c([H])c([H])n([H])c1=O,15645,fegrow_gen/c1(C2C(CC=C)C2)ccc[nH]c1=O.sdf,4.08121,-0.0799443200357428,162.127,1,1,2.0545,True,False,True,False,7.17383893209211,32.86,0.7005928976512749,3,0.0799443200357428
[H]N=C(N([H])[H])[C@]([H])(O[H])C([H])([H])OSc1c([H])c([H])n([H])c(=O)c1C(=O)N([H])N([H])[H],15596,fegrow_gen/c1(C(=O)NN)c(SOCC(O)C(=N)N)cc[nH]c1=O.sdf,4.28052,-0.0891916917286163,274.197,7,6,-1.70103,True,False,True,True,7.76361011246059,167.31,0.0904351355259021,6,0.0891916917286163
[H]c1c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])n([H])c(=O)c1[H],15705,fegrow_gen/c1cc(C(C)C)c[nH]c1=O.sdf,3.6756,-0.0,126.094,1,1,1.4983,True,False,False,False,7.54714497789823,32.86,0.6247060917373041,1,0.0
