Smiles,id,name,cnnaff_pos,cnnaff,MW,HBA,HBD,LogP,Pass_Ro5,has_pains,has_unwanted_subs,has_prob_fgs,synthetic_accessibility,TPSA,QED,N_RotBonds,logp_cnn_per_mw
[H]c1nc([H])c([C@]([H])(N([H])C(=O)c2c([H])c([H])c(=O)n([H])c2[H])C([H])([H])C(=O)N([H])C2([H])C([H])([H])C2([H])[H])c(O[C@]([H])(C([H])([H])N2C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])C([H])([H])N([H])C([H])([H])[H])n1,10930,fegrow_gen/c1cc(C(=O)N[C@H](CC(=O)NC2CC2)c2cncnc2OC(CN2CCCC2)CCNC)c[nH]c1=O.sdf,5.76185,-0.2575610462570376,462.32,8,4,0.7574,True,False,False,False,8.50515654224549,141.33999999999995,0.3178430794483138,13,0.2575610462570376
[H]Sc1c([H])c([H])n(-c2nnn([H])n2)c(=O)c1C(=O)N([H])N([H])[H],14899,fegrow_gen/c1(C(=O)NN)c(S)ccn(-c2nn[nH]n2)c1=O.sdf,4.97405,-0.0571254461308878,246.191,8,4,-1.7572,True,False,True,False,6.23492291388013,131.58,0.216919840609283,2,0.0571254461308878
[H]ON([H])C(=O)[C@@]([H])(Sc1sc(N([H])n2c([H])c(N([H])C3([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c([H])c([C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[C@]([H])(N([H])[H])C([H])([H])[H])c2=O)nc1[H])C(=O)N([H])c1c([H])c([H])c([H])c([H])c1[H],1591,fegrow_gen/c1([C@@H](C)CC[C@@H](C)N)cc(NC2CCCC2)cn(Nc2ncc(SC(C(=O)NO)C(=O)Nc3ccccc3)s2)c1=O.sdf,6.72936,-0.4887090344319751,562.487,11,6,4.3702,False,False,True,False,8.72030286674989,163.4,0.0724586804993846,13,0.4887090344319751
[H]ON(C(=O)C([H])=C([H])c1c([H])c([H])c(=O)n([C@@]2([H])OC([H])([H])C([H])([H])[C@]2([H])C([H])([H])F)c1[H])C([H])([H])C([H])([H])C([H])([H])O[H],14924,fegrow_gen/c1cc(C=CC(=O)N(O)CCCO)cn([C@@H]2C(CF)CCO2)c1=O.sdf,4.9602,-0.2202923145666774,319.183,6,2,0.9663,True,False,True,False,7.7030305986777,92.0,0.4382800692165671,7,0.2202923145666774
[H]N=[N+]=NSc1c(C([H])([H])N2C([H])([H])C([H])([H])N([H])C([H])([H])C2([H])[H])c(N=C=S)n(-c2c([H])c([H])c3c(c2[H])OC([H])([H])O3)c(=O)c1[H],13894,fegrow_gen/c1c(SN=[N+]=N)c(CN2CCNCC2)c(N=C=S)n(-c2ccc3c(c2)OCO3)c1=O.sdf,5.30368,-0.3484829995354812,426.378,11,2,2.26317,True,True,True,True,7.74947294694707,118.4,0.2306255408344696,6,0.3484829995354812
[H]ON([H])C(=O)N(C(=O)n1c([H])c(C([H])([H])C(=O)N([H])[H])c([H])c(N2C([H])([H])C([H])([H])C2([H])[H])c1=O)[C@@]1([H])C([H])([H])C([H])([H])[C@]([H])(C([H])([H])C([H])([H])N([H])[H])[C@]1([H])c1oc([H])c(OC([H])([H])C([H])([H])[H])c1[H],5458,fegrow_gen/c1(N2CCC2)cc(CC(N)=O)cn(C(=O)N([C@H]2CC[C@H](CCN)[C@@H]2c2cc(OCC)co2)C(=O)NO)c1=O.sdf,6.28337,-0.2901559602841589,496.31,10,4,1.358,True,False,True,False,8.54253270728248,186.36,0.274173484793105,9,0.2901559602841589
[H]Oc1c([H])c([H])c(Oc2c([H])c([H])c([H])c(=O)n2C(=O)N([H])[C@@]2([H])C([H])([H])C([H])([H])C([H])([H])[C@]2([H])c2oc(C([H])([H])C(=O)N([H])O[H])c([H])c2[H])c([H])c1[H],8916,fegrow_gen/c1ccc(Oc2ccc(O)cc2)n(C(=O)N[C@H]2CCC[C@@H]2c2ccc(CC(=O)NO)o2)c1=O.sdf,5.96851,-0.352579337447071,430.267,8,4,2.8811,True,False,True,False,7.70686061593773,143.03,0.3318957179080993,6,0.352579337447071
[H]c1nc(-c2c([H])c([H])c([H])c([H])c2C([H])([H])C(=O)N([H])Sc2c([H])c(N=C=S)n([H])c(=O)c2-c2nc([H])c(C([H])([H])[H])c([H])c2[H])c([H])c([H])c1F,7032,fegrow_gen/c1(-c2ccc(C)cn2)c(SNC(=O)Cc2ccccc2-c2ccc(F)cn2)cc(N=C=S)[nH]c1=O.sdf,6.14088,-0.5093554325307595,485.44,7,2,5.04672,False,False,True,True,7.56470729072738,100.1,0.2080790456991136,7,0.5093554325307595
[H]ON([H])C(=O)C(=C([H])c1c([H])c([H])c(=O)n([H])c1[H])[C@@]([H])(C#N)C(=O)N([H])N([H])[H],15550,fegrow_gen/c1cc(C=C(C(=O)NO)C(C#N)C(=O)NN)c[nH]c1=O.sdf,4.40654,-0.0872421819829764,266.152,6,5,-1.60662,True,False,True,False,7.38242985144483,161.1,0.1461813928284723,4,0.0872421819829764
[H]c1c([H])c([H])c(N([H])C(=O)c2c([H])c(C([H])([H])C([H])([H])N([H])C(=O)C([H])([H])[H])c(-c3c([H])c([H])c([H])c(N([H])C(=O)C([H])([H])[H])c3[H])n(C(=O)N([H])C3([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c2=O)c([H])c1[H],438,fegrow_gen/c1(C(=O)Nc2ccccc2)cc(CCNC(C)=O)c(-c2cccc(NC(C)=O)c2)n(C(=O)NC2CCCC2)c1=O.sdf,7.01709,-0.4121426893197688,510.36,6,4,3.9049,True,False,False,False,7.72173189347891,138.4,0.341361181223532,8,0.4121426893197688
[H]c1c([H])c(N([H])C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c(C([H])([H])Sc2c([H])c([H])c([C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])c(=O)n2[H])c([H])c1N([H])C(=O)C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],9001,fegrow_gen/c1([C@@H](C)CC)ccc(SCc2cc(NC(=O)C3CCCCC3)ccc2NC(=O)OC(C)(C)C)[nH]c1=O.sdf,5.9593,-0.6314510460165663,474.392,5,3,7.04650000000001,False,False,False,False,8.48304523731057,100.29,0.3285374161929715,8,0.6314510460165663
[H]c1nn(N([H])N([H])C(=O)c2c(Sc3c([H])c([H])c(F)c([H])c3F)c([H])c([H])n(-c3nnn([H])n3)c2=O)c([H])c1[H],6490,fegrow_gen/c1(C(=O)NNn2cccn2)c(Sc2ccc(F)cc2F)ccn(-c2nn[nH]n2)c1=O.sdf,6.18932,-0.228215837834119,420.3,10,3,0.864999999999999,True,False,True,False,6.64104798199745,135.41000000000005,0.3828036858658152,6,0.228215837834119
[H]c1nn(N([H])N([H])C(=O)c2c(Sc3c([H])c([H])c(F)c([H])c3F)c(-c3c([H])c([H])c(N([H])[H])c([H])c3[H])c([H])n(-c3nnn([H])n3)c2=O)c([H])c1[H],1423,fegrow_gen/c1(C(=O)NNn2cccn2)c(Sc2ccc(F)cc2F)c(-c2ccc(N)cc2)cn(-c2nn[nH]n2)c1=O.sdf,6.75805,-0.3210947592110851,506.373,11,4,2.1142,False,False,True,False,7.29009691340319,161.43,0.1852859654412097,7,0.3210947592110851
[H]C#C[C@@]1([H])[C@]([H])(C(=O)[C@]([H])(N=[N+]=N[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])[C@@]([H])(N([H])C(=O)n2c([H])c(N([H])[H])c([H])c([H])c2=O)C([H])([H])[C@@]1([H])N=C=S,13650,fegrow_gen/c1cc(N)cn(C(=O)N[C@H]2C[C@@H](N=C=S)[C@@H](C#C)[C@@H]2C(C(N=[N+]=N)CN(C)C)=O)c1=O.sdf,5.35597,-0.2172173554810322,420.329,10,3,0.14717,True,True,True,True,8.3032734004765,160.10000000000002,0.1786783664630841,7,0.2172173554810322
[H]c1nc([H])c([C@]([H])(N([H])C(=O)c2c([H])c([H])c(=O)n([H])c2[H])C([H])([H])C(=O)N([H])C2([H])C([H])([H])C2([H])[H])c(OC([H])([H])C([H])([H])N2C([H])([H])C([H])([H])C([H])([H])C2([H])[H])n1,13605,fegrow_gen/c1cc(C(=O)N[C@H](CC(=O)NC2CC2)c2cncnc2OCCN2CCCC2)c[nH]c1=O.sdf,5.36356,-0.2503962183308771,412.28,7,3,0.7793,True,False,False,False,7.79870579269937,129.31,0.4977957020920308,10,0.2503962183308771
[H]N=[N+]=NC([H])([H])[C@@](c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])n(-c2c([H])nn(C([H])([H])[H])c2[H])c1=O)(C([H])(F)F)C([H])([H])[C@@]([H])(C([H])([H])n1c([H])nc([H])c1[H])C1([H])C([H])([H])C([H])([H])OC([H])([H])C1([H])[H],174,fegrow_gen/c1([C@@](CN=[N+]=N)(CC(C2CCOCC2)Cn2ccnc2)C(F)F)cc(C(C)(C)C)cn(-c2cnn(C)c2)c1=O.sdf,7.18316,-0.4191060960443242,506.347,9,1,4.25137,True,True,True,False,8.64125069993678,117.18,0.3038428529666449,10,0.4191060960443242
[H]c1nc([H])c([C@]([H])(N([H])C(=O)c2c([H])c([H])c(=O)n([H])c2[H])C([H])([H])[H])c(N([H])c2c(C3([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])nc([C@@]([H])(C(=O)N([H])[H])N([H])C3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c([H])c2[H])n1,2043,fegrow_gen/c1cc(C(=O)N[C@H](C)c2cncnc2Nc2ccc([C@@H](C(N)=O)NC3CCCCC3)nc2C2CCCC2)c[nH]c1=O.sdf,6.66034,-0.437335233941991,520.383,8,5,3.9008,True,False,False,False,8.66466526496446,167.78000000000003,0.2496144599266527,10,0.437335233941991
[H]OP(=O)(O[H])c1c([H])c(C(Oc2nc([H])c([H])c([H])n2)(C([H])([H])[H])C([H])([H])[H])c(-c2c(S[H])c([H])c([H])n(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c2=O)c([H])c1C([H])([H])N([H])[H],9269,fegrow_gen/c1(-c2c(C(C)(C)Oc3ncccn3)cc(P(=O)(O)O)c(CN)c2)c(S)ccn(C(C)(C)C)c1=O.sdf,5.93282,-0.3872742774694953,475.317,8,4,2.9248,True,False,True,False,7.45731585031116,140.56,0.2967266941682168,6,0.3872742774694953
