cnnaff,Smiles
5.24001,[H]c1c([H])c([H])n([H])c(=O)c1[C@](C([H])([H])[H])(C([H])(F)F)[C@@]([H])(OC([H])([H])C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])C([H])([H])[H]
5.65169,[H]c1nc([H])n(-c2c(Sc3c([H])c([H])c([H])c([H])c3[H])c(C(=O)N([H])C([H])([H])C([H])([H])[H])c([H])n([H])c2=O)c1[H]
4.92038,[H]c1nc([H])c([C@]([H])(N([H])C(=O)c2c([H])c([H])c(=O)n([H])c2[H])C([H])([H])OC([H])(C([H])([H])[H])C([H])([H])[H])c(Cl)n1
4.96921,[H]c1nc([H])c(C([H])([H])C([H])([H])C([H])([H])C([H])([H])N(C(=O)c2c([H])c([H])c([H])n([H])c2=O)c2sc([H])nc2[H])o1
4.97792,[H]OC(=O)[C@@]([H])(OC([H])(C([H])([H])[H])C([H])([H])[H])[C@]([H])(c1c([H])nc([H])nc1Cl)N([H])C(=O)c1c([H])c([H])c(=O)n([H])c1[H]
4.9798,[H]c1oc(OC(=O)C([H])([H])C([H])([H])N([H])C(=O)C([H])([H])[H])c(-n2c([H])c([H])c(SC([H])([H])[H])c([H])c2=O)c1[H]
5.35466,[H]c1c([H])c(F)c(-n2c([H])c([H])c([H])c([C@]3([H])C([H])([H])[C@@]3([H])[C@]3([H])C([H])([H])OC([H])([H])C3([H])[H])c2=O)c(F)c1[H]
4.89153,[H]c1c(C([H])(F)F)c(C([H])([H])N([H])C([H])([H])[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)C([H])([H])[H])c([H])n([H])c1=O
4.8901,[H]c1nc([H])n(-c2c([H])c(C(=O)N([H])[C@@]([H])(N([H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])c([H])n([H])c2=O)c1[H]
5.01198,[H]c1nc([H])n(-c2c([H])c(SN([H])C(=O)OC([H])([H])C([H])([H])OC([H])([H])C(F)(F)F)c([H])c(=O)n2[H])c1[H]
5.02444,[H]c1nc(C(=O)N([H])C([H])([H])C(=O)Oc2oc([H])c([H])c2-n2c([H])c([H])c([H])c([H])c2=O)c([H])c([H])c1[H]
5.02464,[H]c1c(OC([H])([H])[H])nc([C@@]([H])(Sc2c([H])c([H])n([H])c(=O)c2C([H])([H])N([H])C([H])([H])[H])C(=O)OC([H])([H])[H])c([H])c1[H]
5.39326,[H]O[C@](c1nnc(C([H])([H])[H])o1)(C(F)(F)F)C([H])([H])OSc1c([H])c([H])n([H])c(=O)c1C(=O)N([H])N([H])[H]
4.87875,[H]c1c([H])c([H])n([H])c(=O)c1C(=O)N([H])[C@]([H])([C@@]([H])(SC([H])([H])[H])C([H])([H])C([H])([H])[H])[C@@]([H])(N([H])[H])C([H])([H])[H]
5.57419,[H]c1c([H])c([H])c(C([H])([H])C(=O)N(c2c(C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c(=O)n([H])c2[H])C([H])([H])N([H])[H])c([H])c1[H]
5.32641,[H]c1c([H])c(-c2c([H])c(C3([H])C([H])([H])C3([H])[H])c(=O)n([H])c2[H])c([H])c(C(=O)OC([H])([H])[H])c1OC([H])([H])C([H])([H])[H]
5.07034,[H]ON([H])C(=O)C([H])([H])C([H])([H])[C@]([H])(C([H])([H])C(F)(F)F)C([H])([H])C([H])([H])N([H])C(=O)c1c([H])c(Br)c([H])n([H])c1=O
4.81715,[H]c1c([H])c(F)c([H])c(C([H])([H])C([H])([H])OC(=O)C([H])([H])Sc2c([H])c([H])n([H])c(=O)c2[H])c1[H]
3.63592,[H]c1c([H])c([H])n([H])c(=O)c1C1([H])C([H])([H])C1([H])[H]
4.8008,[H]OC(=O)C([H])([H])O[C@]1([H])C([H])([H])C([H])([H])[C@]([H])(N([H])Sc2c([H])c(N=C=S)n([H])c(=O)c2[H])[C@@]1([H])OC([H])([H])C([H])([H])N([H])[H]
4.79737,[H]c1nc(C([H])([H])C(OC(=O)C([H])([H])[H])(c2c([H])c([H])c([H])n([H])c2=O)C([H])([H])C([H])([H])[H])n(C([H])([H])[H])c1[H]
5.09066,[H]C([H])=C([H])C([H])([H])[C@@]1([H])[C@@]([H])(c2c([H])c([H])c([H])n([H])c2=O)[C@]1([H])C([H])([H])c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H]
5.09692,[H]c1nc(C(=O)N([H])C([H])([H])C(=O)Oc2oc(Br)c([H])c2-n2c([H])c([H])c([H])c([H])c2=O)c([H])c([H])c1[H]
4.78158,[H]c1nc(C([H])([H])[C@]([H])(c2c([H])c([H])c([H])n([H])c2=O)C([H])([H])C([H])([H])[H])n(C([H])([H])[H])c1[H]
5.30275,[H]c1c([H])c(N(C(=O)c2c([H])c([H])c([H])n([H])c2=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c(C([H])([H])[H])c1OC(F)(F)F
4.7313,[H]c1c([H])c(C([H])([H])C([H])([H])OC(=O)N([H])Sc2c([H])c([H])n([H])c(=O)c2[H])c([H])c([H])c1C(=O)OC([H])([H])[H]
4.72657,[H]c1c([H])c(N([H])[H])c([H])c(C([H])([H])C([H])([H])C([H])([H])C([H])([H])OC([H])([H])OC(=O)C([H])([H])Sc2c([H])c([H])n([H])c(=O)c2[H])c1[H]
4.72298,[H]OC([H])([H])C([H])([H])C([H])([H])N(OC([H])([H])C#N)C(=O)C([H])=C([H])c1c([H])c([H])c(=O)n([H])c1C([H])([H])N([H])C([H])([H])[H]
5.68317,[H]ON([H])C(=O)C(=C([H])c1c([H])c(F)c(=O)n([H])c1[H])[C@@]([H])(Sc1c([H])c([H])c([H])c([H])c1[H])C([H])(C([H])([H])[H])C([H])([H])[H]
4.42884,[H]O[C@]1([H])C([H])([H])C([H])([H])[C@@]([H])([C@@]([H])(O[H])C([H])([H])[C@@]([H])(c2c([H])c([H])c([H])n([H])c2=O)C([H])([H])[H])C1([H])[H]
4.4287,[H]OC([H])([H])C([H])([H])C([H])([H])N(OC([H])([H])C#N)C(=O)C([H])=C([H])c1c([H])c([H])c(=O)n([H])c1[H]
4.42803,[H]c1c([H])c([H])n([H])c(=O)c1[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C1([H])C([H])([H])C1([H])[H]
5.21132,[H]OC(=O)[C@]([H])(N(C([H])([H])c1c([H])c([H])c(=O)n(SC(F)(F)F)c1[H])C([H])([H])N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])[H]
4.08355,[H]ON(C(=O)C([H])=C([H])c1c([H])c([H])c(=O)n([H])c1[H])C([H])([H])C([H])([H])C([H])([H])OC([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H]
4.08121,[H]C([H])=C([H])C([H])([H])[C@]1([H])C([H])([H])[C@]1([H])c1c([H])c([H])c([H])n([H])c1=O
4.07768,[H]OC([H])([H])C([H])([H])C1(c2c([H])c([H])c([H])n([H])c2=O)C([H])([H])C1([H])[H]
4.05332,[H]c1oc(OC(=O)C([H])([H])[H])c(-n2c([H])c([H])c([H])c([H])c2=O)c1[H]
5.26116,[H]c1nc(Br)oc1C([H])([H])C([H])([H])C([H])([H])C([H])([H])N(SC(F)(F)F)C(=O)c1c([H])c([H])c([H])n([H])c1=O
5.34634,[H]c1c([H])c(F)c([H])c(C([H])([H])[C@@]([H])(OC([H])([H])[C@]([H])(F)C(=O)C([H])([H])[H])[C@@]([H])(c2c([H])c([H])c([H])n([H])c2=O)C([H])([H])[H])c1[H]
4.26529,[H]c1c([H])c([H])n([H])c(=O)c1[C@@]([H])(C([H])([H])[H])[C@@]([H])(C([H])([H])[H])[C@@]1([H])C([H])([H])N([H])C([H])([H])C1([H])[H]
5.11995,[H]c1c([H])c(S(=O)(=O)N([H])[H])c([H])c([H])c1-c1c([H])c([H])c([H])n(SC([H])([H])[H])c1=O
4.92933,[H]OC([H])([H])C([H])([H])N(C(=O)N1C([H])([H])C([H])([H])C([H])([H])C1([H])[H])[C@]1([H])N(Sc2c([H])c([H])n([H])c(=O)c2[H])C(=O)C([H])([H])C1([H])[H]
5.34474,[H]c1nc(C([H])([H])[C@]([H])(c2c([H])c([H])c([H])n([H])c2=O)[C@]([H])(C([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])n(C([H])([H])[H])c1[H]
4.92754,[H]c1nc([H])c(C([H])([H])OC2(c3c([H])c([H])c([H])n([H])c3=O)C([H])([H])C2([H])[H])c(C([H])([H])Cl)c1[H]
3.84429,[H]c1c(C([H])([H])N([H])C([H])([H])C([H])([H])OC([H])([H])C([H])([H])[H])c([H])n(SC(F)(F)F)c(=O)c1[H]
3.84616,[H]c1c(N2C([H])([H])C([H])([H])OC([H])([H])[C@@]2([H])C([H])([H])C([H])([H])OC([H])([H])[H])c([H])c(=O)n([H])c1[H]
3.85037,[H]c1c(SC([H])([H])C([H])(F)F)c([H])c(=O)n([H])c1[H]
5.72347,[H]c1nn([H])c([H])c1C([H])([H])S(=O)(=O)c1c([H])c(SC([H])([H])c2c([H])c([H])c([H])c(Cl)c2[H])c([H])c(=O)n1[H]
3.42295,[H]c1c(C([H])([H])N([H])C([H])([H])[H])c([H])n(SC(F)(F)F)c(=O)c1[H]
4.97076,[H]c1nc(C([H])([H])[C@]([H])(c2c([H])c([H])c([H])n([H])c2=O)C([H])([H])C([H])([H])N2C([H])([H])C([H])([H])C([H])([H])C2([H])[H])n(C([H])([H])[H])c1[H]
4.97164,[H]c1c(Br)c([H])n([H])c(=O)c1C(=O)N(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
3.48113,[H]c1c(C([H])([H])N([H])C([H])([H])Cl)c([H])n(SC(F)(F)F)c(=O)c1[H]
4.98146,[H]c1nc(OC([H])([H])[H])c([H])c([H])c1-c1c(C(=O)N([H])C([H])([H])C([H])([H])[H])c([H])n([H])c(=O)c1[H]
3.91886,[H]C([H])=C([H])C([H])([H])Oc1c(C([H])([H])N([H])C([H])([H])[H])c([H])c([H])c(=O)n1[H]
4.9034,[H]c1nc(N([H])[H])nc(C([H])([H])C([H])([H])OC(=O)N([H])Sc2c([H])c([H])n([H])c(=O)c2[H])c1[H]
4.90123,[H]O[C@]([H])(C([H])([H])[H])[C@@]([H])(c1c([H])c(-n2nc(OC([H])(C([H])([H])[H])C([H])([H])[H])c([H])c2[H])c([H])n([H])c1=O)C([H])([H])[H]
4.99724,[H]ON([H])C(=O)C(=C([H])c1c([H])c([H])c(=O)n(N([H])C([H])([H])[H])c1[H])C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H]
4.89711,[H]OP(=O)(O[H])c1c(-c2c([H])nc(OC([H])([H])[H])c([H])c2[H])c(C(=O)N([H])C([H])([H])C([H])([H])[H])c([H])n([H])c1=O
5.00556,[H]c1nc(C([H])([H])[H])c([H])c([H])c1C([H])([H])N([H])C([H])([H])c1c(SC([H])([H])C(=O)OC([H])([H])[H])c([H])c([H])n([H])c1=O
5.25097,[H]c1oc([H])c(-n2c([H])c(C([H])([H])c3c([H])c([H])c4c([H])c([H])c([H])c([H])c4c3[H])c([H])c([H])c2=O)c1OC([H])([H])[H]
4.88582,[H]c1c(S[C@]2([H])C([H])([H])C([H])([H])[C@]([H])(C([H])([H])N([H])C(=O)C([H])([H])[H])C2([H])[H])c([H])c(=O)n([H])c1N=C=S
5.01757,[H]O[C@]([H])(c1c([H])c([H])c([H])n1[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])[C@@](c1c([H])c([H])c([H])n([H])c1=O)(C([H])([H])[H])C([H])(F)F
3.95293,[H]ON([H])C(=O)C([H])([H])C([H])([H])C([H])([H])N([H])C([H])([H])c1c([H])c([H])c(=O)n(SC(F)(F)F)c1[H]
4.87499,[H]c1c(SC([H])([H])C([H])([H])[H])c([H])n([H])c(=O)c1[C@@]([H])(C([H])([H])[H])[C@@]([H])(C([H])([H])[H])C([H])([H])C(F)(F)F
5.03196,[H]c1sc(-c2c(N3C([H])([H])C([H])([H])N(C(=O)C([H])([H])F)C([H])([H])C3([H])[H])c([H])c(=O)n([H])c2[H])c([H])c1[H]
