cnn_per_mw,Smiles
-0.0141403188600785,[H]c1nc([H])c(C([H])([H])[C@@]([H])(C([H])([H])[H])C([H])([H])[C@@]([H])(Sc2c([H])c([H])c([C@@]([H])(C([H])([H])[H])[C@]([H])(c3c([H])c([H])nc([H])c3[H])C([H])([H])[H])c(=O)n2[H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H]
-0.0126720230069627,[H]OC(=O)C([H])=C([H])C([H])([H])[C@]([H])(c1c(C([H])([H])c2nc([H])c(C([H])([H])c3c(C([H])([H])Oc4c([H])c([H])c([H])c(C([H])([H])[H])c4[H])nn([H])c3C(=O)O[H])c([H])c2[H])c([H])c([H])n([H])c1=O)C([H])([H])C([H])([H])[H]
-0.0133151889134794,[H]OC(=O)C([H])=C([H])C([H])([H])[C@]([H])(c1c(C([H])([H])c2nc([H])c(C([H])([H])c3c(C([H])([H])[H])nn([H])c3C(=O)O[H])c([H])c2[H])c([H])c([H])n(C([H])([H])O[H])c1=O)C([H])([H])C([H])([H])[H]
-0.0123551839110875,[H]O[C@]([H])(c1c([H])c([H])c([H])c([H])c1[H])n1c(N([H])S(=O)(=O)N([H])[H])c([C@]2([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c([C@@]([H])(C([H])([H])[H])[C@]([H])(C([H])([H])[H])S(=O)(=O)N([H])[H])c1=O
-0.0127022168598344,[H]OC(=O)C([H])=C([H])C([H])([H])[C@]([H])(c1c(C([H])([H])c2nc([H])c(C([H])([H])c3c(C([H])([H])[C@@]([H])(C(=O)O[H])C([H])([H])[H])nn([H])c3C(=O)O[H])c([H])c2[H])c([H])c([H])n([H])c1=O)C([H])([H])C([H])([H])[H]
-0.0144557339725233,[H]OC(=O)C([H])=C([H])C([H])([H])[C@]([H])(c1c(C([H])([H])c2nc([H])c(C([H])([H])c3c(C([H])([H])[H])nn([H])c3C(=O)O[H])c([H])c2[H])c([H])c([H])n([H])c1=O)C([H])([H])C([H])([H])[H]
-0.0122922553529123,[H]OC(=O)C([H])=C([H])C([H])([H])[C@]([H])(c1c(C([H])([H])c2nc([H])c(C([H])([H])c3c(C([H])([H])N([H])C([H])([H])C([H])([H])c4c([H])c([H])c([H])c([H])c4[H])nn([H])c3C(=O)O[H])c([H])c2[H])c([H])c([H])n([H])c1=O)C([H])([H])C([H])([H])[H]
-0.0117064360870015,[H]OC(=O)C([H])=C([H])C([H])([H])[C@]([H])(c1c(C([H])([H])c2nc([H])c(C([H])([H])c3c(C([H])([H])C([H])([H])N([H])c4c([H])c([H])c([H])c([H])c4[H])nn([H])c3C(=O)O[H])c([H])c2[H])c([H])c([H])n(C([H])([H])O[H])c1=O)C([H])([H])C([H])([H])[H]
-0.0145312731162037,[H]c1c(OC([H])([H])[H])nc([C@]([H])([C@@]([H])(OC([H])([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])C2([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])[C@@]([H])(c2c([H])c([H])c([H])n([H])c2=O)C([H])([H])[H])c([H])c1[H]
-0.0126015774787166,[H]OC(=O)C([H])=C([H])C([H])([H])[C@]([H])(c1c([H])c([H])c([H])n([H])c1=O)[C@@]([H])(C([H])([H])C(=O)C([H])=C(O[H])C(=O)O[H])[C@@]1([H])C([H])([H])N([H])C([H])([H])C1([H])[H]
